word;weight;number_of_words
fantastis;4;1
fasis;-4;1
firasat;-1;1
fitnah;-4;1
gagal;-5;1
gagalnya;-3;1
gagap;-2;1
gaib;-1;1
gairah;-1;1
ganas;-3;1
ganggu;-4;1
gangguan;-4;1
ganteng;4;1
gedebuk;-2;1
gejala;-2;1
gejolak;-2;1
gelandangan;-3;1
gelap;-2;1
gelisah;-4;1
gemar;4;1
gembira;4;1
gembor;-4;1
gemes;3;1
gemetar;-3;1
gemetaran;-3;1
gempar;-3;1
gencarnya;-2;1
genting;-3;1
gerah;-4;1
geram;-4;1
gerilya;3;1
gerombolan;-3;1
gesit;3;1
getah;-2;1
gila;5;1
glamor;-4;1
glori;3;1
godaan;-3;1
gosip;-4;1
goyah;-3;1
grogi;-3;1
gugatan;-3;1
gunanya;3;1
gurun;-2;1
hadiah;3;1
haha;2;1
halangan;-3;1
halus;3;1
hama;-4;1
hambar;-3;1
hancur;-4;1
hangat;3;1
hangus;-3;1
haram;-5;1
harapan;4;1
harmoni;5;1
harmonik;5;1
harmonisasi;5;1
harumkan;4;1
hati-hati;4;1
haus;-2;1
hebat;3;1
heboh;2;1
hehe;1;1
hero;4;1
hey;2;1
hikmat;3;1
hiks;-3;1
hilang;-3;1
hina;-4;1
hinaan;-4;1
hiruk;-2;1
histeria;-2;1
histeris;-3;1
hiu;-1;1
hoho;-1;1
homo;-2;1
hore;4;1
hormat;4;1
hujat;-4;1
humor;4;1
ibadah;5;1
iblis;-5;1
idiot;-5;1
idolaku;4;1
ilegal;-4;1
ilegalitas;-3;1
imajinatif;4;1
iman;5;1
impersonal;3;1
impian;4;1
impulsif;-3;1
imut;4;1
indah;4;1
indahnya;4;1
inefisiensi;-4;1
inflasi;-4;1
ingus;-3;1
inkonsisten;-4;1
insentif;4;1
inspirasiku;4;1
inspirator;3;1
intelek;4;1
intoleran;-4;1
intrusi;-4;1
irasional;-4;1
iri;-4;1
ironi;-2;1
ironis;-2;1
jahat;-4;1
jalang;-5;1
jaminan;3;1
jarang;-1;1
jatuh;-3;1
jauh;-2;1
jeblok;-4;1
jeda;-1;1
jelas;4;1
jelek;-4;1
jengkel;-4;1
jenis;1;1
jera;-2;1
jeritan;-2;1
jijik;-4;1
jinak;2;1
jongos;-5;1
jujur;4;1
julukan;-2;1
jurang;-3;1
kabur;-4;1
kacau;-4;1
kacung;-4;1
kagum;4;1
kagumi;4;1
kaku;-2;1
kalah;-4;1
kalap;-4;1
kambuh;-3;1
kampungan;-5;1
kangen;4;1
kanibal;-4;1
kanker;-4;1
kasar;-3;1
kasihan;-1;1
kawin;-3;1
kaya;3;1
keanehan;-2;1
keangkuhan;-4;1
kebahagiaan;3;1
kebaikan;4;1
kebajikan;4;1
kebal;3;1
kebangetan;-3;1
kebanggaan;4;1
kebanting;-3;1
kebenaran;4;1
kebencian;-4;1
keberanian;4;1
keberatan;-3;1
keberhasilan;4;1
kebersamaan;4;1
kebingungan;-4;1
kebisingan;-3;1
kebo;-4;1
kebocoran;-3;1
kebodohan;-3;1
kebuntuan;-3;1
keburukan;-4;1
kecaman;-4;1
kecelakaan;-4;1
kecewa;-3;1
kecil;-1;1
kecurigaan;-3;1
kedengkian;-4;1
kedok;-4;1
kedutan;-1;1
keengganan;-3;1
kegagalan;-4;1
kegelapan;-2;1
kegelisahan;-4;1
kegembiraan;4;1
kegemukan;-4;1
kegilaan;-4;1
kegoyangan;-3;1
kehancuran;-4;1
kehilangan;-3;1
kehinaan;-4;1
keindahan;4;1
kejahatan;-4;1
kejam;-4;1
kejang;-3;1
kejatuhan;-2;1
keji;-5;1
kejujuran;4;1
kejutan;3;1
kek;-2;1
kekacauan;-4;1
