word;weight;number_of_words
rahmat;4;1
rakasa;-2;1
ramah;4;1
rapi;4;1
rapuh;-4;1
rasis;-4;1
ratapan;-4;1
reaktif;-2;1
redup;-2;1
regangan;-1;1
remeh;-3;1
rendah;-2;1
rengekan;-3;1
rentan;-3;1
repot;-2;1
repot-repot;-2;1
reruntuhan;-2;1
resah;-2;1
resmi;4;1
revolusi;3;1
rewel;-2;1
riang;4;1
rindu;4;1
risiko;-3;1
riuh;-3;1
robek;-4;1
roboh;-4;1
romantis;4;1
ruam;-3;1
rugi;-4;1
rumit;-3;1
rumor;-3;1
runtuh;-3;1
rusak;-4;1
rusuh;-4;1
sabar;4;1
sabotase;-4;1
saham;3;1
saingan;-2;1
sakit;-4;1
sakit-sakitan;-5;1
salah;-4;1
salut;4;1
samar;-2;1
samar-samar;-2;1
sampah;-4;1
santai;3;1
saraf;1;1
sayang;4;1
sayangnya;-2;1
sebaiknya;-2;1
sebaliknya;-1;1
sebenarnya;3;1
sebodoh;-4;1
sederhana;4;1
sedih;-3;1
sedu-sedan;-4;1
seenaknya;-4;1
sehat;4;1
sehebat;4;1
sejujurnya;3;1
sekarat;-4;1
sekeren;4;1
sekilas;-1;1
seksi;1;1
selamat;4;1
semangat;4;1
sembrono;-4;1
sementara;-1;1
sempurna;5;1
senang;4;1
sendirian;-2;1
sengatan;-2;1
sengit;-3;1
sengketa;-4;1
senjata;-3;1
sensasi;-2;1
sensitif;-2;1
sentimental;-2;1
senyum;4;1
sepele;-3;1
seperti;1;1
sepintas;-2;1
seram;-4;1
serampangan;-3;1
serangan;-4;1
serasi;4;1
serem;-4;1
seringai;-2;1
serius;4;1
seru;4;1
sesat;-4;1
sesuai;3;1
sesumbar;-4;1
setan;-4;1
setia;5;1
setuju;4;1
sewenang-wenang;-4;1
sexy;3;1
sia-sia;-4;1
sialan;-5;1
siap;4;1
sibuk;1;1
sigap;4;1
sihir;-4;1
sikap;1;1
siksaan;-4;1
silakan;3;1
silau;-2;1
siluman;-2;1
simpan;1;1
simpati;4;1
sindir;-4;1
singkat;1;1
sinis;-4;1
sinting;-4;1
sipit;-4;1
sirik;-4;1
skandal;-4;1
skors;-3;1
sok;-4;1
sombong;-4;1
sopan;4;1
spam;-4;1
spektakuler;4;1
spesial;3;1
stabil;4;1
statis;-2;1
stres;-3;1
stress;-4;1
suka;4;1
sukacita;5;1
sukai;3;1
sukses;4;1
sulit;-2;1
sumbang;-2;1
sumpah;2;1
sunyi;-1;1
supel;4;1
super;4;1
suram;-4;1
surga;5;1
surut;-3;1
susah;-3;1
suspensi;1;1
syirik;-4;1
syok;-3;1
taat;4;1
tabrakan;-2;1
tabu;-4;1
tai;-5;1
takhayul;-4;1
takut;-3;1
tandus;-5;1
tangguh;5;1
tanggungjawab;4;1
tantangan;4;1
tarif;-2;1
tawanan;-3;1
tawaran;3;1
tawuran;-4;1
teduh;4;1
tega;-4;1
tegang;-2;1
tegas;4;1
teguh;4;1
tekanan;-2;1
telat;-3;1
tembakan;-3;1
tempa;3;1
tempur;-3;1
tenang;4;1
tenggang;1;1
tenggelam;-3;1
tengik;-5;1
tentu;1;1
teramati;2;1
terampil;4;1
terang-benderang;4;1
terang-terangan;4;1
terasing;-4;1
teratur;4;1
terbahak-bahak;-3;1
terbaik;4;1
terbalik;-2;1
terbata-bata;-2;1
terbelah;-2;1
terbiasa;-1;1
terburuk;-4;1
tercekik;-3;1
tercela;-4;1
tercerah;5;1
tercinta;5;1
terdakwa;-4;1
terdepresiasi;-4;1
terfavorit;4;1
tergantung;-1;1
terhadap;-1;1
terhenti;-2;1
terhormat;4;1
teriak;-2;1
terindah;4;1
terisak;-2;1
terisak-isak;-2;1
terjaga;2;1
terjamin;3;1
terjawab;4;1
terkatakan;-1;1
terkekek-kekek;-2;1
terkenal;4;1
terkendali;4;1
terkesan;4;1
terkubur;-2;1
terkulai;-2;1
terkutuk;-5;1
terlambat;-4;1
terlatih;4;1
terlepas;-3;1
terletak;1;1
terlihat;1;1
terlindungi;4;1
termotivasi;3;1
ternilai;3;1
terobsesi;-2;1
teror;-4;1
teroris;-4;1
terpaku;-2;1
terpencil;-2;1
terperanjat;-2;1
tersedak;-2;1
tersedu-sedu;-3;1
terselubung;-2;1
tersembuhkan;3;1
tersentak;-2;1
tersenyum;4;1
terserah;-3;1
terserang;-3;1
tertahankan;-1;1
tertarik;4;1
tertawa;4;1
tertegun;-1;1
tertekan;-4;1
tertunduk;-1;1
tertutup;-4;1
tiba-tiba;-1;1
tinggi;2;1
tinju;-1;1
tipis;-1;1
tipu;-4;1
tipuan;-4;1
toleran;4;1
toleransi;4;1
tolol;-5;1
tombak;-1;1
top;4;1
totalitas;4;1
tragedi;-4;1
tragis;-4;1
trauma;-4;1
tua;-4;1
tuduhan;-4;1
tuh;-2;1
tuli;-2;1
tulus;5;1
tumpahan;-3;1
tumpul;-2;1
tunduk;-2;1
tunggakan;-2;1
turun;-4;1
tusukan;-2;1
udik;-5;1
ultimatum;-1;1
umpan;-2;1
unggul;4;1
unik;5;1
usang;-4;1
usil;-3;1
usir;-4;1
valid;4;1
vulgar;-4;1
wabah;-4;1
waduh;-3;1
wah;4;1
wajar;3;1
wakil;3;1
waktunya;1;1
waria;-4;1
waspada;4;1
waspadalah;3;1
wow;4;1
wtf;-4;1
yatim;-1;1
yeah;3;1
zina;-5;1
rasa;0;1
manis;5;1
original;0;1
enak;5;1
bau;-5;1
amis;-5;1
muntah;-5;1
enek;-5;1
doyan;5;1
segar;5;1
varian;0;1
porsi;0;1
porsi sedikit;-5;1
porsi banyak;5;1
sedikit;-1;1
kemasan rapi;5;1
praktis;5;1
mengandung;1;1
bergizi;5;1
bermanfaat;5;1
baik;5;1
bagus;5;1
konsumsi;5;1
terpenuhi;5;1
cerdas;3;1
perkembangan;3;1
pencernaan lancar;1;1
pencernaan ;1;1
nutrisi;3;1
organik;3;1
alergi;-5;1
andalan;4;1
motorik;3;1
probiotics;1;1
sehat;5;1
varian banyak;5;1
tekstur;1;1
mudah;3;1
kualitas;2;1
cocok;4;1
kemanisan;-3;1
stimulasi;5;1
ongkir mahal;-3;1
kosong;-3;1
pengiriman cepat;3;1
habis;-3;1
indomaret;0;1
alfamart;1;1
shopee;2;1
superindo;3;1
tokopedia;4;1
giant;0;1
stok habis;-3;1
stok banyak;4;1
blibli.com;0;1
blibli;0;1
lazada;0;1
sehat;5;1
gemuk;3;1
berisi;5;1
cerdas;5;1
alergi;-5;1
tidak ketemu;-3;1
muntah;-5;1
kembung;-5;1
sembelit;-5;1
lincah;5;1
pup;-2;1
mencret;-5;1
gede;5;1
murah;4;1
tidak suka;-5;1
mahal;-5;1
promo;3;1
selamat;3;1
hadiah;1;1
pemenang;1;1
ikut;1;1
yuk;1;1
keren;5;1
cobain;1;1
poin;1;1
menang;1;1
terpilih;1;1
sebar;1;1
tag;1;1
gmt;-3;1
kesukaan;5;1
favorit;5;1
kemitraan;1;1
milna;0;1
cerelac;0;1
promina;0;1
yummy bites;0;1
heinz;0;1
prenagen;0;1
anmum;0;1
lactamil;0;1
Enfamama;0;1
lovamil;0;1
sgm bunda;0;1
morinaga;0;1
morinagaplatinum;0;1
s26 procal;0;1
nutrilon;0;1
dancow;0;1
bebelac;0;1
emesis;0;1
esensis;0;1
nature puff;0;1
bmt;0;1
chilmil;0;1
chillmill;0;1
chilmill;0;1
chillkid;0;1
susu bendera;0;1
frisian flag;0;1
frisianflag;0;1
